target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
BTK,Q06187,CHEMBL5251,CHEMBL648220,CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,IC50,0.4,nM,=,9.40
BTK,Q06187,CHEMBL5251,CHEMBL860638,CHEMBL607707,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,Kd,1500.0,nM,=,5.82
BTK,Q06187,CHEMBL5251,CHEMBL860638,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Kd,710.0,nM,=,6.15
BTK,Q06187,CHEMBL5251,CHEMBL860638,CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,Kd,750.0,nM,=,6.12
BTK,Q06187,CHEMBL5251,CHEMBL861964,CHEMBL207028,NC(=O)c1sc(-c2ccccc2)cc1N,IC50,15100.0,nM,=,4.82
BTK,Q06187,CHEMBL5251,CHEMBL861964,CHEMBL377085,Cc1cc(C)c2c(N)c(C(N)=O)sc2n1,IC50,4100.0,nM,=,5.39
BTK,Q06187,CHEMBL5251,CHEMBL859736,CHEMBL210833,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC,Inhibition,14.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL865400,CHEMBL209148,COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1,IC50,4100.0,nM,=,5.39
BTK,Q06187,CHEMBL5251,CHEMBL870355,CHEMBL386760,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,IC50,100.0,nM,=,7.00
BTK,Q06187,CHEMBL5251,CHEMBL853494,CHEMBL386661,CNc1ncc2cc(-c3cc(C(=O)Nc4cc(C(F)(F)F)ccc4OC4CCN(C)CC4)ccc3C)ccc2n1,IC50,3330.0,nM,=,5.48
BTK,Q06187,CHEMBL5251,CHEMBL853494,CHEMBL215943,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1-c1ccc2nc(NCCN3CCOCC3)ncc2c1,IC50,545.0,nM,=,6.26
BTK,Q06187,CHEMBL5251,CHEMBL908525,CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,IC50,25000.0,nM,=,4.60
BTK,Q06187,CHEMBL5251,CHEMBL894873,CHEMBL540956,Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3[C@@H]2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]4c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,Activity,50.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL894874,CHEMBL540956,Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3[C@@H]2[C@H]1O)O[C@H](c1ccc(O)c(O)c1)[C@H](O)[C@H]4c1c(O)cc(O)c2c1O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,Activity,90.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL896207,CHEMBL230761,Cn1cnc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c1,IC50,10000.0,nM,>,
BTK,Q06187,CHEMBL5251,CHEMBL896380,CHEMBL233338,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN,IC50,22000.0,nM,>,
BTK,Q06187,CHEMBL5251,CHEMBL886945,CHEMBL247067,CN(C)c1cc2cc(n1)CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CCC2,Inhibition,106.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL886945,CHEMBL1162963,CN(C)c1nc2ccc1CCCn1cc(c3ccccc31)C1=C(C(=O)NC1=O)c1cn(c3ccccc13)CC2,Inhibition,105.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL886945,CHEMBL396327,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1ccc(c(N3CCCC3)n1)CCCn1cc2c2ccccc21,Inhibition,104.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL886945,CHEMBL397771,O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCc1cc(nc(N3CCCC3)c1)CCCn1cc2c2ccccc21,Inhibition,106.0,%,=,
BTK,Q06187,CHEMBL5251,CHEMBL887093,CHEMBL246356,CNc1ncnc(-c2cccnc2Oc2cc(NC(=O)c3cccc(OC(F)(F)C(F)F)c3)ccc2C)n1,IC50,25000.0,nM,=,4.60
BTK,Q06187,CHEMBL5251,CHEMBL923138,CHEMBL249097,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,IC50,9.0,nM,=,8.05
BTK,Q06187,CHEMBL5251,CHEMBL923138,CHEMBL248676,Cc1ccc2[nH]ncc2c1Nc1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1,IC50,69.0,nM,=,7.16
