target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663213,CHEMBL787,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,IC50,0.5,nM,=,9.30
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL711838,CHEMBL18132,O=C(O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,IC50,23.0,nM,=,7.64
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663213,CHEMBL89340,CN(C)C(=O)CCS[C@H](SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],IC50,3.1,nM,=,8.51
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL711838,CHEMBL22016,CCCc1c(OCCCCCOc2cc3c(cc2C(C)=O)CCC(C(=O)O)O3)ccc(C(C)=O)c1O,IC50,4000.0,nM,=,5.40
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663212,CHEMBL267475,CCCc1c(OCC(O)COc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O,IC50,4000.0,nM,=,5.40
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663210,CHEMBL89768,CN(C)C(=O)CCSC(SCCC(=O)[O-])c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+],IC50,3.1,nM,=,8.51
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663210,CHEMBL280481,CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,IC50,8.0,nM,=,8.10
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL872481,CHEMBL22776,O=C(O)CCS[C@H](c1ccccc1CCCCCCCCc1ccccc1)[C@@H](O)C(=O)O,Ki,10.0,nM,=,8.00
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663214,CHEMBL54720,c1ccc(CN2CCN(c3nc4ccsc4n4cccc34)CC2)cc1,Inhibition,1.0,%,=,
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL663211,CHEMBL97356,CCCC(CCc1nnn[nH]1)Cc1ccc(OCc2ccc3ccccc3n2)cc1,Ki,11.0,nM,=,7.96
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL313177,O=C(O)CC1(CS[C@H](CCc2ccccc2C(O)(C(F)(F)F)C(F)(F)F)c2cccc(/C=C/c3ccc4sc(Cl)c(Cl)c4n3)c2)CC1,IC50,6.42,nM,=,8.19
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL316170,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(CCc2ccc3sc(Cl)c(Cl)c3n2)c1,IC50,1.06,nM,=,8.97
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL82790,O=C(O)CC1(CS[C@H](CCc2ccc(Br)cc2)c2cccc(/C=C/c3ccc4sc(Cl)c(Cl)c4n3)c2)CC1,IC50,4.7,nM,=,8.33
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL84707,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3scc(Cl)c3n2)c1,IC50,1.91,nM,=,8.72
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL86264,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3sccc3n2)c1,IC50,8.49,nM,=,8.07
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL87528,O=C(O)CC1(CS[C@H](CCc2ccccc2C(F)(F)F)c2cccc(/C=C/c3ccc4sc(Cl)c(Cl)c4n3)c2)CC1,IC50,3.36,nM,=,8.47
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL314340,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3sc(Cl)cc3n2)c1,IC50,1.16,nM,=,8.94
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL314237,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3sc(F)c(F)c3n2)c1,IC50,0.76,nM,=,9.12
CYSLTR1,Q9Y271,CHEMBL1798,CHEMBL710519,CHEMBL83233,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(C2CC2c2ccc3sc(Cl)c(Cl)c3n2)c1,IC50,15.7,nM,=,7.80
