target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL294061,N[C@H]1C[C@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL302231,NC[C@@H]1C[C@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL13795,N[C@H]1C[C@@H]1c1c[nH]cn1,EC50,696.0,nM,=,6.16
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL72424,CC/N=C(\S)NCCCCCc1c[nH]cn1,Ki,10000.0,nM,=,5.00
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL70603,CC(C)/N=C(\S)NCCCCCc1c[nH]cn1,Ki,10000.0,nM,=,5.00
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL90,NCCc1c[nH]cn1,EC50,463.0,nM,=,6.33
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL44220,C/N=C(\S)NCCCCCc1c[nH]cn1,Ki,19952.62,nM,=,4.70
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL72571,S=C(NCCCCCc1c[nH]cn1)NC1CCCCC1,Ki,3981.07,nM,=,5.40
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL310087,S=C(NCCCCCc1c[nH]cn1)Nc1ccccc1,Ki,12589.25,nM,=,4.90
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL70811,S=C(NCCCCCc1c[nH]cn1)NCc1ccccc1,Ki,1584.89,nM,=,5.80
HRH2,P25021,CHEMBL1941,CHEMBL702653,CHEMBL72372,S=C(NCCCCCc1c[nH]cn1)NCc1ccc(Cl)cc1,Ki,1584.89,nM,=,5.80
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL292924,NC[C@H]1C[C@H]1c1c[nH]cn1,EC50,0.0001,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL697132,CHEMBL418470,NCC[C@H]1C[C@H]1c1c[nH]cn1,EC50,93.0,nM,=,7.03
