target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
KEAP1,Q14145,CHEMBL2069156,CHEMBL2382890,CHEMBL2381970,O=C(O)C1CCCCC1C(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O,Kd,700000.0,nM,=,
KEAP1,Q14145,CHEMBL2069156,CHEMBL2382890,CHEMBL2381969,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@@H]1CN1C(=O)c2ccccc2C1=O,Kd,100000.0,nM,=,4.00
KEAP1,Q14145,CHEMBL2069156,CHEMBL2382890,CHEMBL2381968,O=C(O)[C@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O,Kd,1000.0,nM,=,6.00
KEAP1,Q14145,CHEMBL2069156,CHEMBL2382890,CHEMBL1460757,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O,Kd,1900.0,nM,=,5.72
KEAP1,Q14145,CHEMBL2069156,CHEMBL2406877,CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,IC50,2700.0,nM,=,5.57
KEAP1,Q14145,CHEMBL2069156,CHEMBL2406877,CHEMBL2402206,Cc1ccc(S(=O)(=O)c2cnc(SCC(=O)Nc3ccccc3C(F)(F)F)[nH]c2=O)c(C)c1,IC50,118000.0,nM,=,
KEAP1,Q14145,CHEMBL2069156,CHEMBL2406877,CHEMBL2402205,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)N)[C@@H](C)O)C(=O)O,IC50,33.0,nM,=,7.48
KEAP1,Q14145,CHEMBL2069156,CHEMBL3135825,CHEMBL3134422,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O,EC50,638.0,nM,=,6.20
KEAP1,Q14145,CHEMBL2069156,CHEMBL3135825,CHEMBL1460757,O=C(O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2C1CN1C(=O)c2ccccc2C1=O,EC50,13700.0,nM,=,4.86
KEAP1,Q14145,CHEMBL2069156,CHEMBL3135825,CHEMBL3134423,O=C(N/N=C/c1ccc(-c2ccc(C(=O)O)cc2)o1)N/N=C/c1ccc(-c2ccc(C(=O)O)cc2)o1,EC50,9800.0,nM,=,5.01
KEAP1,Q14145,CHEMBL2069156,CHEMBL3242827,CHEMBL3237244,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=S)Nc1ccc2c(c1)C(=O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)[C@@H](C)O)C(N)=O,Kd,15.8,nM,=,7.80
