target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
KIT,P10721,CHEMBL1936,CHEMBL769147,CHEMBL92361,O=C(O)Cc1c2ccccc2n2c1[nH]c(=O)c1ccccc12,Inhibition,31.0,%,=,
KIT,P10721,CHEMBL1936,CHEMBL820421,CHEMBL352308,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,IC50,100.0,nM,=,7.00
KIT,P10721,CHEMBL1936,CHEMBL702237,CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,IC50,10000.0,nM,>,
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL330863,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,IC50,21.0,nM,=,7.68
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,170.0,nM,=,6.77
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL126699,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,IC50,6.0,nM,=,8.22
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL445636,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,IC50,4.0,nM,=,8.40
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,260.0,nM,=,6.58
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL124035,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC,IC50,190.0,nM,=,6.72
KIT,P10721,CHEMBL1936,CHEMBL766073,CHEMBL125898,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,IC50,60.0,nM,=,7.22
