target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL505263,CCC(C)[C@H]1C(=O)Nc2ccc(NCCN3CCCCC3)cc2-c2nc3cc(C(=O)NCc4cccc(C(F)(F)F)c4)ccc3n21,EC50,1995.26,nM,=,5.70
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL503202,CCC(C)[C@H]1C(=O)Nc2ccc(N3CCC(NC(C)=O)C3)cc2-c2nc3cc(C(=O)NCc4cccc(C(F)(F)F)c4)ccc3n21,EC50,1258.93,nM,=,5.90
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL502132,CCC(C)[C@H]1C(=O)Nc2ccc(NCCCN(C)C)cc2-c2nc3cc(C(=O)NCc4cccc(C(F)(F)F)c4)ccc3n21,EC50,630.96,nM,=,6.20
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL2448526,C[C@@H](O)[C@@H]1NC(=O)[C@@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@@H]2CCCN2)CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2ccccc2)NC1=O,EC50,501.19,nM,=,6.30
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL502480,CC(C)[C@H]1C(=O)Nc2ccc(N3CCN(Cc4ccccc4)CC3)cc2-c2nc3cc(C(=O)N(C)C4CCN(C)CC4)ccc3n21,EC50,398.11,nM,=,6.40
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL463274,CC(C)[C@H]1C(=O)Nc2ccc(NC3CCCCCC3)cc2-c2nc3cc(C(=O)N4CCCN(C)CC4)ccc3n21,EC50,316.23,nM,=,6.50
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL1015294,CHEMBL503688,CC(C)[C@H]1C(=O)Nc2ccc(NCc3ccccc3)cc2-c2nc3cc(C(=O)N(C)C4CCN(C)CC4)ccc3n21,EC50,158.49,nM,=,6.80
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL4613001,CHEMBL4635331,Cc1cc(C[C@@H](NC(=O)N2CCC3(CC2)OC(=O)Nc2ncccc23)C(=O)N[C@@H](CC2CCNCC2)C(=O)N2CCN(c3ccncc3)CC2)cc2cn[nH]c12,Activity,80.0,%,=,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL4613002,CHEMBL4635331,Cc1cc(C[C@@H](NC(=O)N2CCC3(CC2)OC(=O)Nc2ncccc23)C(=O)N[C@@H](CC2CCNCC2)C(=O)N2CCN(c3ccncc3)CC2)cc2cn[nH]c12,EC50,900.0,nM,=,6.05
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL4884583,CHEMBL4520293,CN(C)[C@@H]1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1,EC50,740.0,nM,=,6.13
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL4884584,CHEMBL4520293,CN(C)[C@@H]1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1,EC50,1000.0,nM,=,6.00
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL4884583,CHEMBL4534980,CN(C)[C@H]1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1,EC50,100000.0,nM,>,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL4884584,CHEMBL4534980,CN(C)[C@H]1CCN(c2cc(-c3ccccc3)nc3ccnn23)C1,EC50,100000.0,nM,>,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL5126027,CHEMBL5182351,CC(C(=O)Nc1ccc(Oc2cnc(F)cc2Cl)cn1)N1CCC(F)(F)[C@@H](c2ccc(=O)[nH]c2)C1,IC50,10.0,nM,<=,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL5126027,CHEMBL5184300,C[C@@H](C(=O)Nc1cnc(Oc2ccc(F)cc2F)cn1)N1CCC(F)(F)[C@@H](c2cc[n+]([O-])cc2)C1,IC50,2.512,nM,=,8.60
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL5126027,CHEMBL5204738,CC(C(=O)Nc1ccc(Oc2ccccc2)cn1)N1CCC(F)(F)[C@@H](c2c[nH]c(=O)c(CN)c2)C1,IC50,10.0,nM,<=,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL5126027,CHEMBL5205680,C[C@@H](C(=O)Nc1ccc(Oc2ccc(F)cc2F)cn1)N1CCC(F)(F)[C@@H](c2c[nH]c(=O)c(CS(C)(=O)=O)c2)C1,IC50,10.0,nM,<=,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL5126027,CHEMBL5205183,CC(C(=O)Nc1ccc(Oc2ccc(F)cc2)cn1)N1CCC(F)(F)C(c2c[nH]c(=O)c(CNCCO)c2)C1,IC50,10.0,nM,<=,
MRGPRX2,Q96LB1,CHEMBL5849,CHEMBL5126027,CHEMBL5191640,CC(C(=O)Nc1ccc(Oc2ccc(F)cc2)cn1)C1CCC(F)(F)C(c2ccc(=O)[nH]c2)C1,IC50,10.0,nM,<=,
