target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
SYK,P43405,CHEMBL2599,CHEMBL808355,CHEMBL111620,O=C1NC(=O)C(c2cn(CCCO)c3ncccc23)=C1c1ncc(C(F)(F)F)cc1Cl,Activity,76.0,%,=,
SYK,P43405,CHEMBL2599,CHEMBL808355,CHEMBL109944,COCCCn1cc(C2=C(c3ccccc3O)C(=O)NC2=O)c2cccnc21,Activity,86.0,%,=,
SYK,P43405,CHEMBL2599,CHEMBL808355,CHEMBL109981,COc1ccccc1C1=C(c2cn(CCCNC(=O)OC(C)(C)C)c3ncccc23)C(=O)NC1=O,Activity,88.0,%,=,
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL78794,O=C(O)C(C(=O)O)c1ccccc1,IC50,12000000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL142870,O=C(O)C(C(=O)O)C1CCCCC1,IC50,5900000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL817273,CHEMBL142578,O=C(O)CCCCCNS(=O)(=O)/C=C/c1ccccc1,IC50,8000000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL817274,CHEMBL143908,O=C(O)CCNS(=O)(=O)c1ccc(F)cc1,Inhibition,0.9,%,=,
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL2368111,O=C(O)CCCCCNS(=O)(=O)/C=C/c1ccc(NC(=O)[C@H]2CC[C@H](C(C(=O)O)C(=O)O)CC2)cc1,IC50,350000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL357125,O=C(O)C(C(=O)O)C1CC/C=C\CCC1,IC50,7700000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL141597,CC(C)CCCCN(CCCCCC(=O)O)S(=O)(=O)/C=C/c1ccc(NC(=O)[C@H]2CC[C@H](C(C(=O)O)C(=O)O)CC2)cc1,IC50,69000.0,nM,=,4.16
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL358512,O=C(O)CCCCCN(CCCC1CCCCC1)S(=O)(=O)/C=C/c1ccc(NC(=O)[C@H]2CC[C@H](C(C(=O)O)C(=O)O)CC2)cc1,IC50,38000.0,nM,=,4.42
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL145228,CC(C)CCCCN(CCCCCC(=O)O)S(=O)(=O)/C=C/c1ccc(NC(=O)C2CC=C(C(C(=O)O)C(=O)O)CC2)cc1,IC50,71000.0,nM,=,4.15
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL142237,CC(C)CCCCN(CCCCCC(=O)O)S(=O)(=O)/C=C/c1ccc(NC(=O)[C@H]2CC[C@@H](C(C(=O)O)C(=O)O)CC2)cc1,IC50,63000.0,nM,=,4.20
SYK,P43405,CHEMBL2599,CHEMBL817274,CHEMBL142497,Nc1cccc2c(S(=O)(=O)NCC(=O)O)cccc12,Inhibition,39.0,%,=,
SYK,P43405,CHEMBL2599,CHEMBL817274,CHEMBL142634,O=C(O)CCCNS(=O)(=O)/C=C/c1ccccc1,Inhibition,2.3,%,=,
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL342360,O=C(O)CCCCCN(CCCC1CCCCC1)S(=O)(=O)/C=C/c1ccc(NC(=O)[C@H]2CC[C@@H](C(C(=O)O)C(=O)O)CC2)cc1,IC50,40000.0,nM,=,4.40
SYK,P43405,CHEMBL2599,CHEMBL817272,CHEMBL348020,O=C(O)CCCCCN(CCCC1CCCCC1)S(=O)(=O)/C=C/c1ccc(NC(=O)C2CC=C(C(C(=O)O)C(=O)O)CC2)cc1,IC50,41000.0,nM,=,4.39
SYK,P43405,CHEMBL2599,CHEMBL816643,CHEMBL28745,NC(Cc1ccc(CP(=O)(O)O)cc1)C(=O)O,IC50,14000.0,nM,=,4.85
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL281696,NCCCNc1nc(-c2ccccc2)cc2ncccc12,IC50,140.0,nM,=,6.85
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL285916,NCCCNc1nc(-c2cccc(Cl)c2)cc2ncccc12,IC50,260.0,nM,=,6.58
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30640,CN(C)c1ccc(-c2cc3ncccc3c(NCc3ccccc3N)n2)cc1,IC50,850.0,nM,=,6.07
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL31668,COc1ccc(-c2cc3ncccc3c(NCCN)n2)cc1,IC50,1500.0,nM,=,5.82
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30885,NCCCNc1nc(-c2cccc(F)c2)cc2ncccc12,IC50,850.0,nM,=,6.07
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33009,CN(C)CCCN(C)c1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,420.0,nM,=,6.38
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30716,Cc1ccc(-c2cccc(-c3cc4ncccc4c(NCCCN)n3)c2)cc1,IC50,3800.0,nM,=,5.42
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL287478,NCCCNc1nc(-c2ccc(N3CCOCC3)cc2)cc2ncccc12,IC50,8.0,nM,=,8.10
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL286744,COc1ccccc1-c1cc2ncccc2c(NCCCN)n1,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL283181,CN(C)c1ccc(-c2cc3ncccc3c(NCc3ccc(N)cc3)n2)cc1,IC50,13000.0,nM,=,4.89
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30678,CN(C)c1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,34.0,nM,=,7.47
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30633,CN(C)c1ccc(-c2cc3ncccc3c(NCC(C)(C)CN)n2)cc1,IC50,310.0,nM,=,6.51
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30949,CN(C)c1ccc(-c2cc3ncccc3c(NCc3cccnc3)n2)cc1,IC50,1300.0,nM,=,5.89
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL34211,COc1ccc(-c2cc3ncccc3c(N)n2)cc1,IC50,17000.0,nM,=,4.77
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL440797,NCCCNc1nc(-c2ccc(-c3ccsc3)cc2)cc2ncccc12,IC50,1600.0,nM,=,5.80
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30723,CN(C)c1ccc(-c2cc3ncccc3c(NCC3CCCCC3)n2)cc1,IC50,5900.0,nM,=,5.23
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30949,CN(C)c1ccc(-c2cc3ncccc3c(NCc3cccnc3)n2)cc1,IC50,500.0,nM,=,6.30
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30823,Cc1ccc(-c2ccc(-c3cc4ncccc4c(NCCCN)n3)cc2)cc1,IC50,900.0,nM,=,6.05
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL282342,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1,IC50,19.0,nM,=,7.72
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL287267,CSc1ccccc1-c1cc2ncccc2c(NCCCN)n1,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30826,CN(C)c1ccc(-c2cc3ncccc3c(NCCN)n2)cc1,IC50,190.0,nM,=,6.72
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33069,NCCCNc1nc(-c2cccc(OC(F)(F)F)c2)cc2ncccc12,IC50,830.0,nM,=,6.08
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL34104,COc1cccc(-c2cc3ncccc3c(NCCCN)n2)c1,IC50,500.0,nM,=,6.30
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30388,NCCCNc1nc(-c2cccc(-c3ccsc3)c2)cc2ncccc12,IC50,1500.0,nM,=,5.82
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL284590,CSc1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,34.0,nM,=,7.47
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30355,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCO)n2)cc1,IC50,200.0,nM,=,6.70
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30548,CN(C)c1ccc(-c2cc3ncccc3c(N(C)CCCN)n2)cc1,IC50,72.0,nM,=,7.14
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL285346,NCCCNc1nc(-c2ccc(Br)cc2)cc2ncccc12,IC50,260.0,nM,=,6.58
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL281078,CN(C)CCCNc1nc(-c2ccc(N(C)C)cc2)cc2ncccc12,IC50,1700.0,nM,=,5.77
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30588,NCCCNc1nc(-c2cccs2)cc2ncccc12,IC50,440.0,nM,=,6.36
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL281965,COc1ccc(-c2cc3ncc(-c4ccccc4)cc3c(NCCCN)n2)cc1,IC50,3600.0,nM,=,5.44
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30240,NCCCNc1nc(-c2ccc(Cl)cc2)cc2ncccc12,IC50,1200.0,nM,=,5.92
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL285889,CN(C)CCN(C)c1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,71.0,nM,=,7.15
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30708,CN(C)c1ccc(-c2cc3ncccc3c(NCC(O)CN)n2)cc1,IC50,43.0,nM,=,7.37
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33984,COc1ccc(-c2cc3nc(C(F)(F)F)ccc3c(NCCCN)n2)cc1,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL281108,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCCN)n2)cc1,IC50,210.0,nM,=,6.68
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30381,CCN(CC)c1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,20.0,nM,=,7.70
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30774,CNc1nc(-c2ccc(OC)cc2)cc2ncccc12,IC50,490.0,nM,=,6.31
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30981,CC(C)(C)c1cc2ncccc2c(NCCCN)n1,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33175,NCCCNc1nc(-c2ccccc2Br)cc2ncccc12,IC50,25000.0,nM,=,4.60
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30642,CNCCCN(C)c1nc(-c2ccc(N(C)C)cc2)cc2ncccc12,IC50,890.0,nM,=,6.05
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30514,CN(C)c1ccc(-c2cc3ncccc3c(OCCCO)n2)cc1,IC50,200.0,nM,=,6.70
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL31141,CN(C)c1ccc(-c2cc3ncccc3c(OCCCCN)n2)cc1,IC50,160.0,nM,=,6.80
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33626,COc1ccc(-c2cc3ncc(Br)cc3c(NCCCN)n2)cc1,IC50,120.0,nM,=,6.92
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL284675,COc1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,140.0,nM,=,6.85
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL281015,CN(C)CCCN(C)c1nc(-c2ccc(N(C)C)cc2)cc2ncccc12,IC50,8600.0,nM,=,5.07
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL417315,CNc1nc(-c2ccc(OC)cc2)cc2ccccc12,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33466,Cc1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,63.0,nM,=,7.20
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30661,NCCCNc1nc(-c2ccc(F)cc2)cc2ncccc12,IC50,1100.0,nM,=,5.96
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL33373,CNc1nc(-c2ccc(OC)cc2)nc2ccccc12,IC50,40000.0,nM,=,4.40
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30824,CNCCCNc1nc(-c2ccc(N(C)C)cc2)cc2ncccc12,IC50,78.0,nM,=,7.11
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30123,CN(C)c1ccc(-c2cc3ncccc3c(NCc3cccc(CN)c3)n2)cc1,IC50,330.0,nM,=,6.48
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30566,CNc1nc(-c2ccc(N(C)C)cc2)cc2ncccc12,IC50,230.0,nM,=,6.64
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30271,COc1ccc(-c2cc3nc(O)ccc3c(NCCCN)n2)cc1,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30873,CC(C)c1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,IC50,90.0,nM,=,7.05
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL30706,CN(C)c1ccc(-c2cc3ncccc3c(N(C)C)n2)cc1,IC50,420.0,nM,=,6.38
SYK,P43405,CHEMBL2599,CHEMBL807574,CHEMBL434202,CNc1nc(-c2ccc(OC)cc2)nc2ncccc12,IC50,30.0,ug.mL-1,>,
SYK,P43405,CHEMBL2599,CHEMBL843193,CHEMBL435240,COn1cc2c3c(cccc31)[C@@H]1C=C(C)CN(C)[C@@H]1C2,IC50,285000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL814839,CHEMBL102765,C[C@H](NC(=O)[C@@H](CC(=O)O)Cc1ccc(OP(=O)(O)O)cc1)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,IC50,500000.0,nM,>,
SYK,P43405,CHEMBL2599,CHEMBL814839,CHEMBL3706656,C[C@H](NC(=O)c1cc2cc(OP(=O)(O)O)ccc2[nH]1)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,IC50,434000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL814839,CHEMBL319179,C[C@H](NC(=O)Nc1cccc2cc(OP(=O)(O)O)ccc12)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,IC50,310000.0,nM,=,
SYK,P43405,CHEMBL2599,CHEMBL814839,CHEMBL318300,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](C)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,IC50,500000.0,nM,>,
