keyword,assay_chembl_id,assay_description,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value
beta-hexosaminidase,CHEMBL769868,Inhibitory activity against release of beta-hexosaminidase from RBL-2H3 cells,CHEMBL444328,CC(=O)OC/C=C/c1ccc(OC(C)=O)cc1,IC50,100000.0,nM,>,,
beta-hexosaminidase,CHEMBL769868,Inhibitory activity against release of beta-hexosaminidase from RBL-2H3 cells,CHEMBL431836,O=C/C=C/c1ccc(O)cc1,IC50,100000.0,nM,>,,
beta-hexosaminidase,CHEMBL769868,Inhibitory activity against release of beta-hexosaminidase from RBL-2H3 cells,CHEMBL323727,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,IC50,15000.0,nM,=,,4.82
beta-hexosaminidase,CHEMBL769868,Inhibitory activity against release of beta-hexosaminidase from RBL-2H3 cells,CHEMBL111484,C=C[C@H](OC(C)=O)c1ccc(OC(C)=O)c(OC)c1,IC50,19000.0,nM,=,,4.72
beta-hexosaminidase,CHEMBL769868,Inhibitory activity against release of beta-hexosaminidase from RBL-2H3 cells,CHEMBL441646,CC[C@H](OC(C)=O)c1ccc(OC(C)=O)cc1,IC50,60000.0,nM,=,,4.22
beta-hexosaminidase,CHEMBL769868,Inhibitory activity against release of beta-hexosaminidase from RBL-2H3 cells,CHEMBL111134,C=CCc1ccc(O)c(O)c1,IC50,100000.0,nM,>,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL444328,CC(=O)OC/C=C/c1ccc(OC(C)=O)cc1,Inhibition,21.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL52564,O=C(O)/C=C/c1ccccc1O,Inhibition,11.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL108861,C=CCc1ccc(OC)c(OC)c1,Inhibition,1.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL27246,O=C(O)/C=C/c1ccccc1,Inhibition,7.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL322787,C=C[C@H](O)c1ccc(OC(C)=O)cc1,Inhibition,4.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL108299,C=CCc1ccc(OC(C)=O)c(OC)c1,Inhibition,9.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL109341,COc1cc(/C=C/C(=O)O)cc(OC)c1O,Inhibition,10.0,%,=,,
beta-hexosaminidase,CHEMBL769880,Percentage inhibition against release of beta-hexosaminidase from RBL-2H3 cells at 100 uM from control,CHEMBL108862,C=CCc1ccc(O)cc1,Inhibition,3.0,%,=,,
