name,smiles,category,source,target,score,score_raw_with_self,self_match_excluded,best_ref,method
Montelukast,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,maintenance,library,CYSLTR1,0.5109,0.5109,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,remission,library,CYSLTR1,0.2571,0.2571,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Masitinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,remission,library,CYSLTR1,0.2315,0.2315,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,rescue,library,CYSLTR1,0.2105,0.2105,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Rosmarinic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,maintenance,library,CYSLTR1,0.191,0.191,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,rescue,library,CYSLTR1,0.1848,0.1848,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
6-Gingerol,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,maintenance,library,CYSLTR1,0.1828,0.1828,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Aspirin (acetylsalicylic acid),CC(=O)Oc1ccccc1C(=O)O,remission,library,CYSLTR1,0.1818,0.1818,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Acacetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,maintenance,library,CYSLTR1,0.1685,0.1685,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,rescue,library,CYSLTR1,0.1683,0.1683,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,maintenance,library,CYSLTR1,0.1667,0.1667,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0250,O=C(O)COCCN1CCN(C(c2ccc(Cl)cc2)c2cccc(CCS(=O)CCCN=C=S)c2)CC1,candidate,reinvent_generated,CYSLTR1,0.1667,0.1667,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Methyl red,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1,maintenance,library,CYSLTR1,0.1647,0.1647,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,rescue,library,CYSLTR1,0.163,0.163,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,maintenance,library,CYSLTR1,0.1596,0.1596,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0184,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)c(CCS(=O)CCCN=C=S)c1,candidate,reinvent_generated,CYSLTR1,0.1509,0.1509,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0185,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1CCS(=O)CCCN=C=S,candidate,reinvent_generated,CYSLTR1,0.1509,0.1509,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Isorhamnetin,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,maintenance,library,CYSLTR1,0.1505,0.1505,False,Pranlukast (CID 4895),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cromolyn sodium,O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1,rescue,library,CYSLTR1,0.15,0.15,False,Montelukast (CID 5281040),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
