name,smiles,category,source,target,score,score_raw_with_self,self_match_excluded,best_ref,method
Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,rescue,library,HRH1,0.7447,1.0,True,Hydroxyzine (CID 3658),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Hydroxyzine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,rescue,library,HRH1,0.7447,1.0,True,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0273,O=C(O)COCCN1CCN(C(c2ccc(Cl)cc2)c2cccc(CCS(=O)CCCN=C=S)c2)CC1,candidate,reinvent_generated,HRH1,0.6119,0.6119,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0223,O=C(O)COCCN1CCN(C(c2ccc(Cl)cc2)c2ccccc2CCS(=O)CCCN=C=S)CC1,candidate,reinvent_generated,HRH1,0.597,0.597,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0268,CCOC(=O)N1CCC(=C2c3cc(CCS(=O)CCCN=C=S)c(Cl)cc3CCc3cccnc32)CC1,candidate,reinvent_generated,HRH1,0.5696,0.5696,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0254,O=S(CCCN=C=S)CCc1cccc(C(c2ccc(Cl)cc2)N2CCN(CCOCCO)CC2)c1,candidate,reinvent_generated,HRH1,0.5672,0.5672,False,Hydroxyzine (CID 3658),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0270,CCOC(=O)N1CCC(=C2c3ncccc3CCc3cc(Cl)cc(CCS(=O)CCCN=C=S)c32)CC1,candidate,reinvent_generated,HRH1,0.5641,0.5641,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0244,O=S(CCCN=C=S)CCc1ccccc1C(c1ccc(Cl)cc1)N1CCN(CCOCCO)CC1,candidate,reinvent_generated,HRH1,0.5522,0.5522,False,Hydroxyzine (CID 3658),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0176,CN(C)CCOC(c1ccccc1)c1cccc(CCS(=O)CCCN=C=S)c1,candidate,reinvent_generated,HRH1,0.463,0.463,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0183,CN(C)CCOC(c1ccccc1)c1ccccc1CCS(=O)CCCN=C=S,candidate,reinvent_generated,HRH1,0.4444,0.4444,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,rescue,library,HRH1,0.4219,1.0,True,Desloratadine (CID 124087),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Fexofenadine,CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,rescue,library,HRH1,0.2857,1.0,True,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,rescue,library,HRH1,0.25,1.0,True,Hydroxyzine (CID 3658),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Ketotifen,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,rescue,library,HRH1,0.25,0.25,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,remission,library,HRH1,0.2211,0.2211,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Montelukast,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,maintenance,library,HRH1,0.2128,0.2128,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Masitinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,remission,library,HRH1,0.2062,0.2062,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Aspirin (acetylsalicylic acid),CC(=O)Oc1ccccc1C(=O)O,remission,library,HRH1,0.1951,0.1951,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Methyl red,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1,maintenance,library,HRH1,0.1875,0.1875,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Alpha-bisabolol,CC(C)=CCC[C@@](C)(O)[C@H]1CC=C(C)CC1,maintenance,library,HRH1,0.1857,0.1857,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0187,CN1CCC(=C2c3ccsc3C(=O)Cc3cccc(CCS(=O)CCCN=C=S)c32)CC1,candidate,reinvent_generated,HRH1,0.1856,0.1856,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Benzyl isothiocyanate,S=C=NCc1ccccc1,remission,library,HRH1,0.1842,0.1842,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0186,CN1CCC(=C2c3cc(CCS(=O)CCCN=C=S)ccc3CC(=O)c3sccc32)CC1,candidate,reinvent_generated,HRH1,0.1753,0.1753,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Phenethyl isothiocyanate,S=C=NCCc1ccccc1,remission,library,HRH1,0.175,0.175,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0173,CC(=O)Oc1c(CCS(=O)CCCN=C=S)cccc1C(=O)O,candidate,reinvent_generated,HRH1,0.1688,0.1688,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0233,O=C(O)c1cc(=O)c2c(OCC(O)COc3ccc4oc(C(=O)O)cc(=O)c4c3CCS(=O)CCCN=C=S)cccc2o1,candidate,reinvent_generated,HRH1,0.163,0.163,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
6-Gingerol,CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,maintenance,library,HRH1,0.1605,0.1605,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0189,COc1c(O)c(CCS(=O)CCCN=C=S)c(O)c2c(=O)cc(-c3ccccc3)oc12,candidate,reinvent_generated,HRH1,0.1591,0.1591,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Ascorbic acid,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,rescue,library,HRH1,0.1587,0.1587,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0184,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)c(CCS(=O)CCCN=C=S)c1,candidate,reinvent_generated,HRH1,0.1548,0.1548,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0185,CN(C)c1ccc(N=Nc2ccccc2C(=O)O)cc1CCS(=O)CCCN=C=S,candidate,reinvent_generated,HRH1,0.1548,0.1548,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0161,O=S(CCCN=C=S)CCc1ccccc1CCN=C=S,candidate,reinvent_generated,HRH1,0.1538,0.1538,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0174,CC(=O)Oc1cc(CCS(=O)CCCN=C=S)ccc1C(=O)O,candidate,reinvent_generated,HRH1,0.1538,0.1538,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Carnosic acid,CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2,remission,library,HRH1,0.1519,0.1519,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0160,O=S(CCCN=C=S)CCc1ccccc1CN=C=S,candidate,reinvent_generated,HRH1,0.1493,0.1493,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Wogonin,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,maintenance,library,HRH1,0.1481,0.1481,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Naltrexone (low-dose),O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,maintenance,library,HRH1,0.1477,0.1477,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cannabidiolic acid,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)c(C(=O)O)c1O,maintenance,library,HRH1,0.1477,0.1477,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Tetrahydrocannabinolic acid,CCCCCc1cc2c(c(O)c1C(=O)O)[C@@H]1C=C(C)CC[C@H]1C(C)(C)O2,maintenance,library,HRH1,0.1477,0.1477,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0188,COc1c(O)cc(O)c2c(=O)c(CCS(=O)CCCN=C=S)c(-c3ccccc3)oc12,candidate,reinvent_generated,HRH1,0.1461,0.1461,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Midostaurin,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,remission,library,HRH1,0.1456,0.1456,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0249,O=C(O)c1cc(=O)c2c(OCC(O)COc3ccc4oc(C(=O)O)c(CCS(=O)CCCN=C=S)c(=O)c4c3)cccc2o1,candidate,reinvent_generated,HRH1,0.1456,0.1456,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0261,O=C(/C=C/c1cc(O)c(O)cc1CCS(=O)CCCN=C=S)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,candidate,reinvent_generated,HRH1,0.1444,0.1444,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Avapritinib,CC1(C)OB(O)c2cc(CNC(=O)c3ccc(C4=NO[C@](c5cc(Cl)c(F)c(Cl)c5)(C(F)(F)F)C4)n4cccc34)ccc21,remission,library,HRH1,0.1441,0.1441,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cromolyn sodium,O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1,rescue,library,HRH1,0.1429,0.1429,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0175,O=S(CCCN=C=S)CCc1cc(/C=C/c2cc(O)cc(O)c2)ccc1O,candidate,reinvent_generated,HRH1,0.1429,0.1429,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0226,CC(C)c1c(O)c(O)c2c(c1CCS(=O)CCCN=C=S)CC[C@H]1C(C)(C)CCC[C@]21C(=O)O,candidate,reinvent_generated,HRH1,0.1414,0.1414,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Calcitriol,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,maintenance,library,HRH1,0.1413,0.1413,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cannabigerolic acid,CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,maintenance,library,HRH1,0.1412,0.1412,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0179,O=c1c(CCS(=O)CCCN=C=S)c(-c2ccccc2)oc2cc(O)cc(O)c12,candidate,reinvent_generated,HRH1,0.1412,0.1412,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0205,O=c1c(CCS(=O)CCCN=C=S)c(-c2ccccc2)oc2cc(O)c(O)c(O)c12,candidate,reinvent_generated,HRH1,0.1412,0.1412,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cannabidivarin,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCC)cc1O,maintenance,library,HRH1,0.141,0.141,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Rosmarinic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,maintenance,library,HRH1,0.1408,0.1408,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0264,O=C(/C=C/c1cc(O)c(O)c(CCS(=O)CCCN=C=S)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,candidate,reinvent_generated,HRH1,0.1398,0.1398,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,maintenance,library,HRH1,0.1389,0.1389,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Alpha-lipoic acid,O=C(O)CCCCC1CCSS1,maintenance,library,HRH1,0.1364,0.1364,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Cannabidiol,C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(CCCCC)cc1O,maintenance,library,HRH1,0.1358,0.1358,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0202,O=C(CCc1ccc(O)c(CCS(=O)CCCN=C=S)c1)c1c(O)cc(O)cc1O,candidate,reinvent_generated,HRH1,0.1358,0.1358,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0245,CC1(C)SC2C(NC(=O)C(C(=O)O)c3csc(CCS(=O)CCCN=C=S)c3)C(=O)N2C1C(=O)O,candidate,reinvent_generated,HRH1,0.1333,0.1333,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0152,O=S(CCCN=C=S)CCc1cccc(CCN=C=S)c1,candidate,reinvent_generated,HRH1,0.1324,0.1324,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Nicotinamide riboside,NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1,maintenance,library,HRH1,0.1316,0.1316,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0277,CC1(C)SC2C(NC(=O)C(C(=O)O)c3cscc3CCS(=O)CCCN=C=S)C(=O)N2C1C(=O)O,candidate,reinvent_generated,HRH1,0.1313,0.1313,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Tetrahydrocannabivarin,CCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,maintenance,library,HRH1,0.131,0.131,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Ranitidine,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,rescue,library,HRH1,0.129,0.129,False,Diphenhydramine (CID 3100),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0159,O=S(CCCN=C=S)CCc1cccc(CN=C=S)c1,candidate,reinvent_generated,HRH1,0.1286,0.1286,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0232,O=C1CC[C@@]2(O)[C@H]3Cc4c(CCS(=O)CCCN=C=S)cc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,candidate,reinvent_generated,HRH1,0.1284,0.1284,False,Fexofenadine (CID 3348),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0255,O=C(O[C@@H]1Cc2c(cc(O)c(CCS(=O)CCCN=C=S)c2O)O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,candidate,reinvent_generated,HRH1,0.1277,0.1277,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0256,O=C(O[C@@H]1Cc2c(O)cc(O)c(CCS(=O)CCCN=C=S)c2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,candidate,reinvent_generated,HRH1,0.1277,0.1277,False,Cetirizine (CID 2678),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Terpinolene,CC1=CCC(=C(C)C)CC1,maintenance,library,HRH1,0.127,0.127,False,Loratadine (CID 3957),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
