name,smiles,category,source,target,score,score_raw_with_self,self_match_excluded,best_ref,method
Resveratrol,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,maintenance,library,SYK,0.64,0.64,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Pterostilbene,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,maintenance,library,SYK,0.4242,0.4242,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0175,O=S(CCCN=C=S)CCc1cc(/C=C/c2cc(O)cc(O)c2)ccc1O,candidate,reinvent_generated,SYK,0.3878,0.3878,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Rosmarinic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,maintenance,library,SYK,0.3864,0.3864,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0178,O=S(CCCN=C=S)CCc1c(O)cc(/C=C/c2ccc(O)c(O)c2)cc1O,candidate,reinvent_generated,SYK,0.375,0.375,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Curcumin,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,maintenance,library,SYK,0.359,0.359,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0193,O=S(CCCN=C=S)CCc1c(O)cc(O)cc1/C=C/c1ccc(O)c(O)c1,candidate,reinvent_generated,SYK,0.3585,0.3585,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Luteolin,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,maintenance,library,SYK,0.2791,0.2791,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
GEN_0177,O=S(CCCN=C=S)CCc1cc(O)ccc1/C=C/c1cc(O)cc(O)c1,candidate,reinvent_generated,SYK,0.2778,0.2778,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
Quercetin,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,rescue,library,SYK,0.2727,0.2727,False,Piceatannol (CID 667639),ligand_based_similarity_tanimoto_morgan2_2048_self_debias
