smiles,tanimoto_to_SFN,best_seed_match,qed,sa_score_proxy,lipinski_pass,mw,logp,composite_score,seed,source
S=C=NCCc1ccccc1,1.0,Phenethyl_isothiocyanate,0.4918,2.02,True,163.25,2.33,0.7741,Phenethyl_isothiocyanate,local_brics_bioisostere
S=C=NCc1ccccc1,1.0,Benzyl_isothiocyanate,0.4639,2.0,True,149.22,2.29,0.7634,Benzyl_isothiocyanate,local_brics_bioisostere
CSCCCCN=C=S,1.0,Erucin,0.3481,1.18,True,161.3,2.23,0.7353,Sulforaphane,local_brics_bioisostere
CS(=O)/C=C/CCN=C=S,1.0,Sulforaphene,0.3667,1.9,True,175.28,1.37,0.7267,Sulforaphene,local_brics_bioisostere
CS(=O)CCCCN=C=S,1.0,Sulforaphane,0.3592,1.9,True,177.29,1.25,0.7237,Sulforaphane,local_brics_bioisostere
CS(=O)CCCN=C=S,1.0,Iberin,0.3493,1.88,True,163.27,0.86,0.7202,Sulforaphane,local_brics_bioisostere
CSCCCCCN=C=S,0.9524,Erucin,0.3494,1.2,True,175.32,2.62,0.7163,Sulforaphane,local_brics_bioisostere
C=CCN=C=S,1.0,Allyl_isothiocyanate,0.2884,1.12,True,99.16,1.28,0.7127,Allyl_isothiocyanate,local_brics_bioisostere
CS(=O)CCCCCN=C=S,0.9565,Sulforaphane,0.3627,1.92,True,191.32,1.64,0.7073,Sulforaphane,local_brics_bioisostere
CSCCCN=C=S,0.9048,Erucin,0.3416,1.16,True,147.27,1.84,0.695,Sulforaphane,local_brics_bioisostere
CCS(=O)/C=C/CCN=C=S,0.6774,Sulforaphene,0.3745,1.92,True,189.3,1.76,0.6003,Sulforaphene,local_brics_bioisostere
CS(=O)/C=C/CCC#N,0.4688,Sulforaphene,0.5565,1.88,True,143.21,1.18,0.5906,Sulforaphene,local_brics_bioisostere
CCS(=O)CCCCN=C=S,0.6429,Sulforaphane,0.3627,1.92,True,191.32,1.64,0.5818,Sulforaphane,local_brics_bioisostere
CS(=O)CCCCC#N,0.4483,Sulforaphane,0.5549,1.88,True,145.23,1.06,0.5817,Sulforaphane,local_brics_bioisostere
CCSCCCCN=C=S,0.6154,Erucin,0.3494,1.2,True,175.32,2.62,0.5815,Sulforaphane,local_brics_bioisostere
CS(=O)CCCCCC#N,0.4333,Sulforaphane,0.5696,1.9,True,159.25,1.45,0.5812,Sulforaphane,local_brics_bioisostere
CCS(=O)CCCN=C=S,0.6429,Iberin,0.3592,1.9,True,177.29,1.25,0.5808,Sulforaphane,local_brics_bioisostere
CSCCCCC#N,0.4074,Erucin,0.5423,1.16,True,129.23,2.04,0.5763,Sulforaphane,local_brics_bioisostere
CSCCCCCC#N,0.3929,Erucin,0.5518,1.18,True,143.26,2.43,0.5739,Erucin,local_brics_bioisostere
CCS(=O)CCCCCN=C=S,0.6207,Sulforaphane,0.3614,1.94,True,205.35,2.03,0.572,Sulforaphane,local_brics_bioisostere
CSCCCCSC#N,0.4615,Erucin,0.4566,1.18,True,161.3,2.34,0.5633,Sulforaphane,local_brics_bioisostere
CS(=O)/C=C/CCSC#N,0.4706,Sulforaphene,0.4798,1.9,True,175.28,1.48,0.5602,Sulforaphene,local_brics_bioisostere
CS(=O)CCc1ccc(C#N)cc1,0.2632,Sulforaphane,0.7292,2.76,True,193.27,1.48,0.5578,Sulforaphane,local_brics_bioisostere
CS(=O)CCCC#N,0.4138,Sulforaphane,0.528,1.86,True,131.2,0.67,0.5576,Sulforaphane,local_brics_bioisostere
CCSCCCN=C=S,0.5556,Erucin,0.3481,1.18,True,161.3,2.23,0.5575,Iberin,local_brics_bioisostere
CSCCCCCSC#N,0.4444,Erucin,0.458,1.2,True,175.32,2.73,0.5565,Erucin,local_brics_bioisostere
CCS(=O)(=O)/C=C/CCN=C=S,0.5152,Sulforaphene,0.3873,1.24,True,205.3,1.43,0.5557,Sulforaphene,local_brics_bioisostere
CSCCCC#N,0.3704,Erucin,0.5221,1.14,True,115.2,1.65,0.5539,Iberin,local_brics_bioisostere
CS(=O)(=O)/C=C/CCN=C=S,0.5152,Sulforaphene,0.3787,1.22,True,191.28,1.04,0.5527,Sulforaphene,local_brics_bioisostere
CS(=O)CCCCSC#N,0.4516,Sulforaphane,0.4701,1.9,True,177.29,1.36,0.5487,Sulforaphane,local_brics_bioisostere
CS(=O)CCc1ccc(N=C=S)cc1,0.3784,Sulforaphane,0.5812,2.78,True,225.34,2.34,0.5443,Sulforaphane,local_brics_bioisostere
