weight,scale,category,spearman_rho_vs_baseline,top10_jaccard,top1_baseline,top1_perturbed,top1_same,entered_top10,left_top10,n_compounds
w_evidence,0.5,rescue,0.9455,1.0,Cetirizine,Cetirizine,True,,,11
w_evidence,0.5,maintenance,0.972,1.0,Curcumin,Curcumin,True,,,80
w_evidence,0.5,remission,0.9692,0.333,Erucin,Erucin,True,GEN_0002;GEN_0004;GEN_0005;GEN_0006;GEN_0008,Allyl isothiocyanate;Glucoraphanin;Masitinib;Midostaurin;Sulforaphene,166
w_evidence,1.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_evidence,1.5,maintenance,0.9909,0.818,Curcumin,Curcumin,True,Resveratrol,Piceatannol,80
w_evidence,1.5,remission,0.994,0.667,Erucin,Erucin,True,Avapritinib;Imatinib,Allyl isothiocyanate;Sulforaphene,166
w_target,0.5,rescue,0.9909,1.0,Cetirizine,Cetirizine,True,,,11
w_target,0.5,maintenance,0.982,0.818,Curcumin,Curcumin,True,Palmitoylethanolamide,Piceatannol,80
w_target,0.5,remission,0.9946,0.818,Erucin,Erucin,True,Avapritinib,Allyl isothiocyanate,166
w_target,1.5,rescue,0.9636,1.0,Cetirizine,Fexofenadine,False,,,11
w_target,1.5,maintenance,0.9903,0.818,Curcumin,Curcumin,True,Resveratrol,Docosahexaenoic acid (DHA),80
w_target,1.5,remission,0.9959,0.818,Erucin,Sulforaphane,False,Imatinib,Glucoraphanin,166
w_qed,0.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_qed,0.5,maintenance,1.0,1.0,Curcumin,Curcumin,True,,,80
w_qed,0.5,remission,0.9943,1.0,Erucin,Erucin,True,,,166
w_qed,1.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_qed,1.5,maintenance,1.0,1.0,Curcumin,Curcumin,True,,,80
w_qed,1.5,remission,0.9923,1.0,Erucin,Erucin,True,,,166
w_warhead,0.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_warhead,0.5,maintenance,0.9879,0.818,Curcumin,Curcumin,True,Resveratrol,Piceatannol,80
w_warhead,0.5,remission,0.9745,0.667,Erucin,Erucin,True,Avapritinib;Imatinib,Allyl isothiocyanate;Sulforaphene,166
w_warhead,1.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_warhead,1.5,maintenance,0.9929,1.0,Curcumin,Curcumin,True,,,80
w_warhead,1.5,remission,0.9884,1.0,Erucin,Erucin,True,,,166
w_safety,0.5,rescue,0.9909,1.0,Cetirizine,Fexofenadine,False,,,11
w_safety,0.5,maintenance,0.9883,1.0,Curcumin,Curcumin,True,,,80
w_safety,0.5,remission,0.9918,0.818,Erucin,Sulforaphane,False,Imatinib,Glucoraphanin,166
w_safety,1.5,rescue,0.9909,1.0,Cetirizine,Cetirizine,True,,,11
w_safety,1.5,maintenance,0.987,0.818,Curcumin,Curcumin,True,Palmitoylethanolamide,Piceatannol,80
w_safety,1.5,remission,0.9931,1.0,Erucin,Erucin,True,,,166
w_bbb_context,0.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_bbb_context,0.5,maintenance,0.9966,0.818,Curcumin,Curcumin,True,Resveratrol,Piceatannol,80
w_bbb_context,0.5,remission,0.9986,0.818,Erucin,Erucin,True,Imatinib,Allyl isothiocyanate,166
w_bbb_context,1.5,rescue,1.0,1.0,Cetirizine,Cetirizine,True,,,11
w_bbb_context,1.5,maintenance,0.9974,0.818,Curcumin,Curcumin,True,Palmitoylethanolamide,Piceatannol,80
w_bbb_context,1.5,remission,0.9979,1.0,Erucin,Erucin,True,,,166
