name,category,baseline_rank,mean_rank,rank_95_ci_low,rank_95_ci_high,rank_spread,top1_frac,top10_frac,n_samples
Curcumin,maintenance,1,1.0,1,1,0,1.0,1.0,200
Rosmarinic acid,maintenance,2,2.39,2,4,2,0.0,1.0,200
Thymoquinone,maintenance,3,3.56,2,5,3,0.0,1.0,200
Baicalein,maintenance,4,3.9,3,4,1,0.0,1.0,200
Luteolin,maintenance,5,4.17,3,5,2,0.0,1.0,200
EGCG,maintenance,6,6.64,6,11,5,0.0,0.965,200
Montelukast,maintenance,7,8.07,6,11,5,0.0,0.97,200
Eicosapentaenoic acid (EPA),maintenance,8,8.37,6,12,6,0.0,0.94,200
Docosahexaenoic acid (DHA),maintenance,9,9.61,7,13,6,0.0,0.725,200
Piceatannol,maintenance,10,10.25,6,13,7,0.0,0.47,200
Resveratrol,maintenance,11,10.91,6,16,10,0.0,0.43,200
Palmitoylethanolamide,maintenance,12,11.54,8,16,7,0.0,0.3,200
Cholecalciferol (Vitamin D3),maintenance,13,12.49,10,16,6,0.0,0.055,200
Myricetin,maintenance,14,13.42,8,16,8,0.0,0.105,200
Fisetin,maintenance,15,15.42,10,19,9,0.0,0.035,200
Testosterone,maintenance,16,16.45,12,23,11,0.0,0.005,200
Butyric acid,maintenance,17,16.95,13,22,8,0.0,0.0,200
Apigenin,maintenance,19,18.68,15,23,8,0.0,0.0,200
Alpha-lipoic acid,maintenance,18,19.27,15,25,10,0.0,0.0,200
Kaempferol,maintenance,20,20.72,17,24,7,0.0,0.0,200
Rutin,maintenance,21,22.05,17,33,16,0.0,0.0,200
Silibinin,maintenance,22,23.25,21,27,6,0.0,0.0,200
Naltrexone (low-dose),maintenance,23,24.74,20,30,10,0.0,0.0,200
Delta-9-THC,maintenance,24,25.24,20,32,12,0.0,0.0,200
Cannabidiol,maintenance,25,26.52,21,33,12,0.0,0.0,200
Calcitriol,maintenance,26,26.95,22,32,10,0.0,0.0,200
Linalool,maintenance,29,29.33,22,36,14,0.0,0.0,200
Hesperidin,maintenance,28,29.57,24,35,11,0.0,0.0,200
Galangin,maintenance,30,30.19,25,36,11,0.0,0.0,200
Myricitrin,maintenance,27,30.7,16,48,32,0.0,0.0,200
6-Gingerol,maintenance,31,32.46,24,42,18,0.0,0.0,200
Xanthohumol,maintenance,32,33.2,17,51,34,0.0,0.0,200
Beta-caryophyllene,maintenance,33,33.27,25,41,16,0.0,0.0,200
D-Limonene,maintenance,34,33.55,27,39,12,0.0,0.0,200
Cannabidiolic acid,maintenance,35,34.22,30,40,10,0.0,0.0,200
Chrysin,maintenance,36,34.62,28,42,14,0.0,0.0,200
Alpha-bisabolol,maintenance,37,36.09,32,39,7,0.0,0.0,200
Naringenin,maintenance,38,37.21,32,41,9,0.0,0.0,200
Ellagic acid,maintenance,39,37.27,19,51,31,0.0,0.0,200
N-Acetylcysteine (NAC),maintenance,40,38.03,29,44,14,0.0,0.0,200
Eucalyptol,maintenance,41,39.03,29,47,18,0.0,0.0,200
Hesperetin,maintenance,42,39.85,35,44,9,0.0,0.0,200
Nicotinamide riboside,maintenance,43,42.48,37,46,9,0.0,0.0,200
Magnolol,maintenance,44,42.8,39,47,8,0.0,0.0,200
Wogonin,maintenance,45,44.97,40,50,10,0.0,0.0,200
Honokiol,maintenance,46,46.3,42,52,10,0.0,0.0,200
Tangeretin,maintenance,47,46.55,41,51,10,0.0,0.0,200
Biotin,maintenance,49,46.91,30,53,22,0.0,0.0,200
Nobiletin,maintenance,48,49.1,45,61,16,0.0,0.0,200
Taurine,maintenance,52,51.06,38,59,20,0.0,0.0,200
Pterostilbene,maintenance,50,53.11,45,75,30,0.0,0.0,200
Delta-8-THC,maintenance,53,53.27,44,62,17,0.0,0.0,200
Oleoylethanolamide,maintenance,54,53.65,46,61,15,0.0,0.0,200
Ivermectin,maintenance,51,53.98,46,71,25,0.0,0.0,200
Cannabidivarin,maintenance,56,58.7,52,69,17,0.0,0.0,200
Methylene blue,maintenance,55,58.76,49,77,28,0.0,0.0,200
Beta-pinene,maintenance,58,59.13,52,66,14,0.0,0.0,200
Tetrahydrocannabivarin,maintenance,57,59.89,52,72,20,0.0,0.0,200
Geraniol,maintenance,59,59.98,49,69,19,0.0,0.0,200
Cannabichromene,maintenance,60,60.14,55,63,8,0.0,0.0,200
Cannabichromenic acid,maintenance,61,61.14,56,64,8,0.0,0.0,200
Phloretin,maintenance,62,61.59,56,67,11,0.0,0.0,200
Anandamide,maintenance,63,62.26,56,67,11,0.0,0.0,200
Nerolidol,maintenance,64,62.3,53,68,14,0.0,0.0,200
Tetrahydrocannabinolic acid,maintenance,65,63.88,56,71,15,0.0,0.0,200
Beta-myrcene,maintenance,66,64.19,53,73,19,0.0,0.0,200
Alpha-pinene,maintenance,67,65.79,54,73,18,0.0,0.0,200
Acacetin,maintenance,68,65.97,55,76,21,0.0,0.0,200
Isorhamnetin,maintenance,69,66.62,54,77,23,0.0,0.0,200
Terpinolene,maintenance,70,67.46,59,72,12,0.0,0.0,200
2-Arachidonoylglycerol,maintenance,71,69.03,64,72,8,0.0,0.0,200
Cannabigerol,maintenance,72,70.86,67,73,6,0.0,0.0,200
Cannabinol,maintenance,73,72.47,65,77,12,0.0,0.0,200
Alpha-humulene,maintenance,74,72.81,67,75,8,0.0,0.0,200
Cannabicyclol,maintenance,75,73.2,64,77,12,0.0,0.0,200
Nicotinamide mononucleotide,maintenance,76,75.06,73,76,3,0.0,0.0,200
NAD+,maintenance,77,76.47,74,77,3,0.0,0.0,200
Cannabigerolic acid,maintenance,78,78.4,77,80,3,0.0,0.0,200
Methyl red,maintenance,79,78.58,78,79,1,0.0,0.0,200
Lycopodine,maintenance,80,79.93,79,80,1,0.0,0.0,200
Erucin,remission,1,1.4,1,2,1,0.6,1.0,200
Sulforaphane,remission,2,1.6,1,2,1,0.4,1.0,200
Phenethyl isothiocyanate,remission,3,3.03,3,4,1,0.0,1.0,200
Iberin,remission,4,4.27,3,7,4,0.0,1.0,200
Benzyl isothiocyanate,remission,5,6.28,5,10,5,0.0,1.0,200
Sulforaphene,remission,8,8.46,6,12,6,0.0,0.78,200
Masitinib,remission,6,9.62,4,40,36,0.0,0.815,200
Allyl isothiocyanate,remission,10,9.64,6,13,7,0.0,0.64,200
Glucoraphanin,remission,9,11.99,4,53,49,0.0,0.76,200
Midostaurin,remission,7,12.05,5,55,50,0.0,0.755,200
GEN_0005,remission,14,12.7,6,17,11,0.0,0.26,200
Carnosic acid,remission,12,14.82,9,33,24,0.0,0.055,200
GEN_0006,remission,15,15.04,7,20,12,0.0,0.135,200
GEN_0004,remission,16,15.24,8,21,13,0.0,0.155,200
GEN_0002,remission,17,15.3,8,20,12,0.0,0.145,200
Avapritinib,remission,11,16.8,8,66,58,0.0,0.44,200
GEN_0008,remission,18,17.04,10,21,11,0.0,0.05,200
Carnosol,remission,13,18.08,12,42,30,0.0,0.01,200
GEN_0009,remission,19,18.61,11,22,10,0.0,0.0,200
GEN_0019,remission,20,20.6,14,25,11,0.0,0.0,200
GEN_0016,remission,21,22.45,15,28,13,0.0,0.0,200
GEN_0012,remission,23,24.87,17,32,14,0.0,0.0,200
GEN_0037,remission,25,25.07,17,30,13,0.0,0.0,200
GEN_0014,remission,24,25.48,18,31,12,0.0,0.0,200
GEN_0058,remission,26,27.05,16,36,20,0.0,0.0,200
GEN_0043,remission,27,28.16,21,33,12,0.0,0.0,200
GEN_0031,remission,28,29.52,16,41,24,0.0,0.0,200
GEN_0050,remission,31,30.26,19,40,20,0.0,0.0,200
GEN_0036,remission,29,30.37,18,42,24,0.0,0.0,200
GEN_0042,remission,30,30.69,23,35,11,0.0,0.0,200
GEN_0057,remission,35,32.13,21,42,21,0.0,0.0,200
GEN_0029,remission,33,32.27,21,43,22,0.0,0.0,200
GEN_0020,remission,32,32.3,19,46,27,0.0,0.0,200
GEN_0038,remission,34,32.51,24,38,13,0.0,0.0,200
Aspirin (acetylsalicylic acid),remission,22,34.03,14,74,60,0.0,0.0,200
GEN_0030,remission,37,36.45,25,47,21,0.0,0.0,200
