weight,scale,category,compound,change,baseline_rank,perturbed_rank
w_evidence,0.5,remission,GEN_0002,entered,11,5
w_evidence,0.5,remission,GEN_0004,entered,14,8
w_evidence,0.5,remission,GEN_0006,entered,13,7
w_evidence,0.5,remission,GEN_0008,entered,12,6
w_evidence,0.5,remission,GEN_0009,entered,15,9
w_evidence,0.5,remission,Avapritinib,left,9,51
w_evidence,0.5,remission,Erucin,left,3,11
w_evidence,0.5,remission,Glucoraphanin,left,6,29
w_evidence,0.5,remission,Masitinib,left,5,20
w_evidence,0.5,remission,Midostaurin,left,7,32
w_evidence,1.5,remission,Aspirin (acetylsalicylic acid),entered,16,10
w_evidence,1.5,remission,GEN_0005,left,10,13
w_target,0.5,remission,Aspirin (acetylsalicylic acid),entered,16,10
w_target,0.5,remission,GEN_0005,left,10,13
w_warhead,0.5,remission,Aspirin (acetylsalicylic acid),entered,16,10
w_warhead,0.5,remission,GEN_0005,left,10,12
